zip,lat,lng,city,state_id,state_name,population,density,county_names_all,county_fips_all
01001,42.06259,-72.62589,Agawam,MA,Massachusetts,17312,581.0,Hampden,25013
01002,42.37492,-72.4621,Amherst,MA,Massachusetts,30014,210.5,Hampshire|Franklin,25015|25011
01003,42.39192,-72.52479,Amherst,MA,Massachusetts,11357,6164.3,Hampshire,25015
01005,42.42017,-72.10615,Barre,MA,Massachusetts,5128,44.7,Worcester,25027
01007,42.27875,-72.40036,Belchertown,MA,Massachusetts,15005,110.1,Hampshire,25015
01008,42.18428,-72.95203,Blandford,MA,Massachusetts,1140,8.2,Hampden,25013
01009,42.20972,-72.33971,Bondsville,MA,Massachusetts,261,124.0,Hampden,25013
01010,42.12863,-72.20624,Brimfield,MA,Massachusetts,3658,40.6,Hampden,25013
01011,42.29652,-72.95968,Chester,MA,Massachusetts,1430,17.5,Hampden|Hampshire,25013|25015
01012,42.38699,-72.84634,Chesterfield,MA,Massachusetts,585,17.2,Hampshire,25015
01013,42.1595,-72.60825,Chicopee,MA,Massachusetts,22733,1558.3,Hampden,25013
01020,42.17637,-72.56538,Chicopee,MA,Massachusetts,30108,928.1,Hampden,25013
01022,42.19731,-72.54267,Chicopee,MA,Massachusetts,2586,209.2,Hampden,25013
01026,42.4633,-72.92024,Cummington,MA,Massachusetts,933,15.0,Hampshire,25015
01027,42.29508,-72.74309,Easthampton,MA,Massachusetts,17818,169.9,Hampshire,25015
01028,42.05968,-72.49908,East Longmeadow,MA,Massachusetts,16242,484.8,Hampden,25013
01029,42.19632,-73.04836,East Otis,MA,Massachusetts,538,13.1,Berkshire,25003
01030,42.06886,-72.67998,Feeding Hills,MA,Massachusetts,11384,371.9,Hampden,25013
01031,42.32934,-72.19822,Gilbertville,MA,Massachusetts,1135,54.0,Worcester,25027
01032,42.45031,-72.81299,Goshen,MA,Massachusetts,495,16.2,Hampshire,25015
01033,42.26081,-72.50363,Granby,MA,Massachusetts,6322,87.8,Hampshire,25015
01034,42.08485,-72.95765,Granville,MA,Massachusetts,2186,11.8,Hampden,25013
01035,42.35564,-72.56921,Hadley,MA,Massachusetts,5319,89.0,Hampshire,25015
01036,42.06369,-72.4159,Hampden,MA,Massachusetts,5178,102.6,Hampden,25013
01037,42.37011,-72.19771,Hardwick,MA,Massachusetts,747,20.4,Worcester,25027
01038,42.38548,-72.60701,Hatfield,MA,Massachusetts,2734,105.7,Hampshire,25015
01039,42.40629,-72.69363,Haydenville,MA,Massachusetts,1207,35.3,Hampshire|Franklin,25015|25011
01040,42.21256,-72.64107,Holyoke,MA,Massachusetts,40241,734.1,Hampden,25013
01050,42.28784,-72.86986,Huntington,MA,Massachusetts,2438,24.6,Hampshire|Hampden,25015|25013
01053,42.35347,-72.71162,Leeds,MA,Massachusetts,1593,119.9,Hampshire,25015
01054,42.47363,-72.48746,Leverett,MA,Massachusetts,2001,33.9,Franklin,25011
01056,42.19211,-72.45804,Ludlow,MA,Massachusetts,21291,302.2,Hampden,25013
01057,42.09164,-72.32432,Monson,MA,Massachusetts,8824,75.8,Hampden,25013
01060,42.32229,-72.63128,Northampton,MA,Massachusetts,15948,563.7,Hampshire,25015
01062,42.32188,-72.69278,Florence,MA,Massachusetts,10364,220.4,Hampshire,25015
01063,42.31901,-72.63905,Northampton,MA,Massachusetts,611,6079.5,Hampshire,25015
01066,42.40763,-72.6548,North Hatfield,MA,Massachusetts,31,16.8,Hampshire,25015
01068,42.35002,-72.04606,Oakham,MA,Massachusetts,1833,34.0,Worcester,25027
01069,42.18807,-72.30555,Palmer,MA,Massachusetts,8556,117.6,Hampden,25013
01070,42.51853,-72.92391,Plainfield,MA,Massachusetts,648,12.1,Hampshire,25015
01071,42.16035,-72.86,Russell,MA,Massachusetts,1318,32.7,Hampden,25013
01072,42.45737,-72.41841,Shutesbury,MA,Massachusetts,1478,28.4,Franklin,25011
01073,42.23083,-72.73857,Southampton,MA,Massachusetts,6144,84.3,Hampshire,25015
01074,42.38672,-72.09404,South Barre,MA,Massachusetts,411,1865.9,Worcester,25027
01075,42.25674,-72.57923,South Hadley,MA,Massachusetts,17703,385.8,Hampshire,25015
01077,42.05437,-72.77851,Southwick,MA,Massachusetts,9720,121.8,Hampden,25013
01079,42.19437,-72.33014,Thorndike,MA,Massachusetts,781,268.1,Hampden,25013
01080,42.18206,-72.36564,Three Rivers,MA,Massachusetts,2709,605.7,Hampden,25013
01081,42.06234,-72.23095,Wales,MA,Massachusetts,1883,50.1,Hampden,25013
01082,42.2948,-72.27776,Ware,MA,Massachusetts,10580,88.6,Hampshire|Worcester,25015|25027
01083,42.20382,-72.19495,Warren,MA,Massachusetts,3094,75.8,Worcester,25027
01084,42.39038,-72.88089,West Chesterfield,MA,Massachusetts,168,7.1,Hampshire,25015
01085,42.15371,-72.76958,Westfield,MA,Massachusetts,41780,270.2,Hampden,25013
01086,42.13044,-72.79402,Westfield,MA,Massachusetts,363,3775.3,Hampden,25013
01088,42.39012,-72.6478,West Hatfield,MA,Massachusetts,509,37.8,Hampshire,25015
01089,42.12534,-72.65027,West Springfield,MA,Massachusetts,28609,660.4,Hampden,25013
01092,42.19972,-72.23727,West Warren,MA,Massachusetts,1278,73.6,Worcester,25027
01093,42.43438,-72.65305,Whately,MA,Massachusetts,313,24.0,Franklin,25011
01094,42.35945,-72.13847,Wheelwright,MA,Massachusetts,387,130.9,Worcester,25027
01095,42.12764,-72.42993,Wilbraham,MA,Massachusetts,14728,252.8,Hampden,25013
01096,42.40418,-72.76819,Williamsburg,MA,Massachusetts,2443,29.8,Hampshire,25015
01097,42.17603,-72.8313,Woronoco,MA,Massachusetts,56,11.5,Hampden,25013
01098,42.3946,-72.94242,Worthington,MA,Massachusetts,1263,15.5,Hampshire,25015
01103,42.104,-72.5921,Springfield,MA,Massachusetts,2332,1956.6,Hampden,25013
01104,42.13404,-72.56679,Springfield,MA,Massachusetts,23740,1757.3,Hampden,25013
01105,42.09917,-72.57899,Springfield,MA,Massachusetts,11841,3678.4,Hampden,25013
01106,42.04791,-72.57176,Longmeadow,MA,Massachusetts,15987,665.7,Hampden,25013
01107,42.12129,-72.6055,Springfield,MA,Massachusetts,11562,2962.0,Hampden,25013
01108,42.08055,-72.55983,Springfield,MA,Massachusetts,27054,2804.1,Hampden,25013
01109,42.11837,-72.54875,Springfield,MA,Massachusetts,30383,2155.4,Hampden,25013
01118,42.09476,-72.52533,Springfield,MA,Massachusetts,14830,1592.5,Hampden,25013
01119,42.12455,-72.51122,Springfield,MA,Massachusetts,13681,1488.0,Hampden,25013
01128,42.09488,-72.48814,Springfield,MA,Massachusetts,2541,880.0,Hampden,25013
01129,42.121,-72.48773,Springfield,MA,Massachusetts,6941,782.1,Hampden,25013
01151,42.15295,-72.50881,Indian Orchard,MA,Massachusetts,9032,1472.2,Hampden,25013
01199,42.12065,-72.6045,Springfield,MA,Massachusetts,0,0.0,Hampden,25013
01201,42.44993,-73.27644,Pittsfield,MA,Massachusetts,44458,324.3,Berkshire,25003
01220,42.62372,-73.11718,Adams,MA,Massachusetts,8179,128.4,Berkshire,25003
01222,42.05899,-73.32081,Ashley Falls,MA,Massachusetts,807,94.2,Berkshire,25003
01223,42.31176,-73.0994,Becket,MA,Massachusetts,2443,13.5,Berkshire,25003
01224,42.50661,-73.19746,Berkshire,MA,Massachusetts,125,173.5,Berkshire,25003
01225,42.56267,-73.15484,Cheshire,MA,Massachusetts,3105,47.7,Berkshire,25003
01226,42.48168,-73.13992,Dalton,MA,Massachusetts,6769,99.1,Berkshire,25003
01229,42.27796,-73.33212,Glendale,MA,Massachusetts,91,47.9,Berkshire,25003
01230,42.18475,-73.3437,Great Barrington,MA,Massachusetts,8525,36.0,Berkshire,25003
01235,42.42975,-73.07241,Hinsdale,MA,Massachusetts,2567,21.7,Berkshire,25003
01236,42.26658,-73.3767,Housatonic,MA,Massachusetts,1311,105.4,Berkshire,25003
01237,42.54971,-73.26265,Lanesborough,MA,Massachusetts,2488,15.5,Berkshire,25003
01238,42.29522,-73.2288,Lee,MA,Massachusetts,5814,64.4,Berkshire,25003
01240,42.37208,-73.27645,Lenox,MA,Massachusetts,4453,80.4,Berkshire,25003
01242,42.33328,-73.24921,Lenox Dale,MA,Massachusetts,471,365.2,Berkshire,25003
01243,42.35146,-73.02323,Middlefield,MA,Massachusetts,268,5.6,Hampshire,25015
01244,42.11608,-73.2627,Mill River,MA,Massachusetts,132,20.8,Berkshire,25003
01245,42.18815,-73.2189,Monterey,MA,Massachusetts,836,11.5,Berkshire,25003
01247,42.69547,-73.07997,North Adams,MA,Massachusetts,15466,113.7,Berkshire,25003
01253,42.21187,-73.11616,Otis,MA,Massachusetts,769,16.2,Berkshire,25003
01254,42.37982,-73.36545,Richmond,MA,Massachusetts,902,23.9,Berkshire,25003
01255,42.10834,-73.1229,Sandisfield,MA,Massachusetts,891,6.6,Berkshire,25003
01256,42.59628,-73.01957,Savoy,MA,Massachusetts,680,7.3,Berkshire,25003
01257,42.09701,-73.36886,Sheffield,MA,Massachusetts,2017,21.5,Berkshire,25003
01258,42.10257,-73.46176,South Egremont,MA,Massachusetts,488,7.3,Berkshire,25003
01259,42.07553,-73.23564,Southfield,MA,Massachusetts,540,8.2,Berkshire,25003
01260,42.29587,-73.34517,South Lee,MA,Massachusetts,427,65.7,Berkshire,25003
01262,42.29354,-73.3177,Stockbridge,MA,Massachusetts,1005,32.2,Berkshire,25003
01264,42.23411,-73.19903,Tyringham,MA,Massachusetts,206,7.0,Berkshire,25003
01266,42.308,-73.38408,West Stockbridge,MA,Massachusetts,1295,19.2,Berkshire,25003
01267,42.67197,-73.23904,Williamstown,MA,Massachusetts,7753,54.9,Berkshire,25003
01270,42.51492,-73.04125,Windsor,MA,Massachusetts,796,9.6,Berkshire,25003
01301,42.62406,-72.60401,Greenfield,MA,Massachusetts,17617,266.8,Franklin,25011
01330,42.51377,-72.81395,Ashfield,MA,Massachusetts,1276,14.8,Franklin,25011
01331,42.56728,-72.18294,Athol,MA,Massachusetts,13486,97.8,Worcester,25027
01337,42.69503,-72.5771,Bernardston,MA,Massachusetts,2532,26.2,Franklin,25011
01338,42.57358,-72.82134,Buckland,MA,Massachusetts,113,12.6,Franklin,25011
01339,42.60801,-72.89006,Charlemont,MA,Massachusetts,1371,9.6,Franklin,25011
01340,42.6832,-72.71797,Colrain,MA,Massachusetts,1779,15.7,Franklin,25011
01341,42.50447,-72.70514,Conway,MA,Massachusetts,1929,20.9,Franklin,25011
01342,42.54451,-72.60591,Deerfield,MA,Massachusetts,1259,27.2,Franklin,25011
01343,42.65444,-72.98109,Drury,MA,Massachusetts,78,6.2,Berkshire,25003
01344,42.60777,-72.42883,Erving,MA,Massachusetts,1380,39.1,Franklin,25011
01346,42.68892,-72.817,Heath,MA,Massachusetts,471,8.5,Franklin,25011
01347,42.56137,-72.51694,Lake Pleasant,MA,Massachusetts,154,102.7,Franklin,25011
01349,42.57271,-72.48332,Millers Falls,MA,Massachusetts,1391,69.9,Franklin,25011
01350,42.72265,-72.98245,Monroe Bridge,MA,Massachusetts,87,3.1,Franklin,25011
01351,42.54281,-72.51905,Montague,MA,Massachusetts,2114,39.0,Franklin,25011
01354,42.63366,-72.51108,Gill,MA,Massachusetts,1596,44.8,Franklin,25011
01355,42.45289,-72.33044,New Salem,MA,Massachusetts,931,7.6,Franklin,25011
01360,42.67575,-72.44594,Northfield,MA,Massachusetts,2981,33.6,Franklin,25011
01364,42.61292,-72.29242,Orange,MA,Massachusetts,7729,76.1,Franklin,25011
01366,42.48054,-72.18772,Petersham,MA,Massachusetts,1188,11.4,Worcester,25027
01367,42.6958,-72.91185,Rowe,MA,Massachusetts,639,9.3,Franklin,25011
01368,42.68082,-72.18602,Royalston,MA,Massachusetts,1377,12.7,Worcester,25027
01370,42.59655,-72.72864,Shelburne Falls,MA,Massachusetts,3852,29.9,Franklin,25011
01373,42.47292,-72.61561,South Deerfield,MA,Massachusetts,4854,77.5,Franklin,25011
01375,42.4651,-72.55461,Sunderland,MA,Massachusetts,3647,99.0,Franklin,25011
